Service,Feature,Status
Amazon Pinpoint,UpdateSmsTemplate operation rate quota,"Available in source, Not Available in target"
Amazon Pinpoint,UpdateEndpointsBatch operation burst quota,"Available in source, Not Available in target"
Amazon Pinpoint,UpdateInAppTemplate operation burst quota,"Available in source, Not Available in target"
Amazon Pinpoint,UpdateEndpoint operation rate quota,"Available in source, Not Available in target"
AWS Resource Access Manager,Number of resource associations,Available in both
AWS Resource Access Manager,Number of resource shares,Available in both
Amazon Recycle Bin,Tags per rule,Available in both
Amazon Recycle Bin,Rules per Region,Available in both
Amazon Relational Database Service (Amazon RDS),Data API HTTP request body size,"Available in source, Not Available in target"
Amazon Relational Database Service (Amazon RDS),Data API maximum result set size,"Available in source, Not Available in target"
Amazon Relational Database Service (Amazon RDS),Data API maximum concurrent cluster-secret pairs,"Available in source, Not Available in target"
Amazon Relational Database Service (Amazon RDS),Data API maximum concurrent requests,"Available in source, Not Available in target"
Amazon Relational Database Service (Amazon RDS),Proxies,"Available in source, Not Available in target"
Amazon Relational Database Service (Amazon RDS),Data API requests per second,"Available in source, Not Available in target"
Amazon Relational Database Service (Amazon RDS),Data API maximum size of JSON response string,"Available in source, Not Available in target"
Amazon Relational Database Service (Amazon RDS),Total storage for all DB instances,Available in both
Amazon Relational Database Service (Amazon RDS),Read replicas per primary,Available in both
Amazon Relational Database Service (Amazon RDS),IAM roles per DB instance,Available in both
Amazon Relational Database Service (Amazon RDS),Manual DB cluster snapshots,Available in both
Amazon Relational Database Service (Amazon RDS),Security groups,Available in both
Amazon Relational Database Service (Amazon RDS),Parameter groups,Available in both
Amazon Relational Database Service (Amazon RDS),IAM roles per DB cluster,Available in both
Amazon Relational Database Service (Amazon RDS),DB subnet groups,Available in both
Amazon Relational Database Service (Amazon RDS),Event subscriptions,Available in both
Amazon Relational Database Service (Amazon RDS),DB instances,Available in both
Amazon Relational Database Service (Amazon RDS),DB cluster parameter groups,Available in both
Amazon Relational Database Service (Amazon RDS),Authorizations per DB security group,Available in both
Amazon Relational Database Service (Amazon RDS),Subnets per DB subnet group,Available in both
AWS Migration Hub Refactor Spaces,Applications,"Available in source, Not Available in target"
AWS Migration Hub Refactor Spaces,Routes,"Available in source, Not Available in target"
AWS Migration Hub Refactor Spaces,Environments,"Available in source, Not Available in target"
AWS Migration Hub Refactor Spaces,Services,"Available in source, Not Available in target"
Amazon Rekognition,Transactions per second per account for the Amazon Rekognition Custom Labels operation: UpdateDatasetEntries,"Available in source, Not Available in target"
Amazon Rekognition,Amazon Rekognition Custom Labels models per project,"Available in source, Not Available in target"
Amazon Rekognition,Transactions per second per account for the Amazon Rekognition operation: DeleteUser,"Available in source, Not Available in target"
Amazon Rekognition,Transactions per second per account for the Amazon Rekognition Image operation DetectFaces,"Available in source, Not Available in target"
Amazon Rekognition,Transactions per second per account for the Amazon Rekognition Video stored video get operation GetTextDetection,"Available in source, Not Available in target"
Amazon Rekognition,Transactions per second per account for the Amazon Rekognition Video stored video start operation StartFaceSearch,"Available in source, Not Available in target"
Amazon Rekognition,Transactions per second per account for the Amazon Rekognition Custom Labels operation DeleteProjectVersion,"Available in source, Not Available in target"
AWS Resilience Hub,Number of resources per application,"Available in source, Not Available in target"
AWS Resilience Hub,Number of applications,"Available in source, Not Available in target"
AWS Resilience Hub,Terraform state file maximum size,"Available in source, Not Available in target"
AWS Resilience Hub,Number of Application Components per application,"Available in source, Not Available in target"
AWS Resilience Hub,Number of Terraform state files to import,"Available in source, Not Available in target"
AWS Resilience Hub,Number of Regulatory Policies,"Available in source, Not Available in target"
AWS Resilience Hub,Number of namespaces to import for an EKS cluster,"Available in source, Not Available in target"
AWS Resilience Hub,Number of AWS CloudFormation stacks to import,"Available in source, Not Available in target"
AWS Resilience Hub,Number of recommendation templates per application per month,"Available in source, Not Available in target"
AWS Resilience Hub,Number of Resiliency Policies,"Available in source, Not Available in target"
AWS Resilience Hub,Number of EKS clusters to import,"Available in source, Not Available in target"
AWS Resilience Hub,Number of assessments per application per month,"Available in source, Not Available in target"
AWS Resource Explorer,Non-aggregator Region search monthly quota,Available in both
AWS Resource Explorer,Aggregator Region search monthly quota,Available in both
AWS Resource Explorer,Search TPS quota,Available in both
AWS Resource Groups,Resource groups per account,"Available in source, Not Available in target"
IAM Roles Anywhere,Rate of CreateSession requests,"Available in source, Not Available in target"
IAM Roles Anywhere,CRLs per trust anchor,"Available in source, Not Available in target"
IAM Roles Anywhere,Trust anchors,"Available in source, Not Available in target"
IAM Roles Anywhere,Combined rate of profile requests,"Available in source, Not Available in target"
IAM Roles Anywhere,Combined rate of CRL requests,"Available in source, Not Available in target"
IAM Roles Anywhere,Combined rate of trust anchor requests,"Available in source, Not Available in target"
IAM Roles Anywhere,Combined rate of subject requests,"Available in source, Not Available in target"
IAM Roles Anywhere,Certificates per trust anchor,"Available in source, Not Available in target"
IAM Roles Anywhere,Combined rate of tagging requests,"Available in source, Not Available in target"
IAM Roles Anywhere,Profiles,"Available in source, Not Available in target"
Route 53 Resolver,Resolver rules per AWS Region,Available in both
Route 53 Resolver,Domains in a file imported from S3,"Available in source, Not Available in target"
Route 53 Resolver,DNS Firewall rules groups per Region,"Available in source, Not Available in target"
Route 53 Resolver,Domain lists per account,"Available in source, Not Available in target"
Route 53 Resolver,Associations between resolver rules and VPCs per AWS Region,Available in both
Route 53 Resolver,Rules in a DNS Firewall rule group,"Available in source, Not Available in target"
Route 53 Resolver,Target IP addresses per resolver rule,Available in both
Route 53 Resolver,DNS Firewall rule group associations per VPC,"Available in source, Not Available in target"
Route 53 Resolver,Maximum number of resolver endpoints per AWS Region,Available in both
Route 53 Resolver,IP addresses per resolver endpoint,Available in both
Route 53 Resolver,Domains per account,"Available in source, Not Available in target"
Amazon SageMaker,Studio CodeEditor Apps running on ml.r6id.large instances,"Available in source, Not Available in target"
Amazon SageMaker,ml.p2.xlarge for notebook instance usage,"Available in source, Not Available in target"
Amazon SageMaker,Studio CodeEditor Apps running on ml.r5.4xlarge instances,"Available in source, Not Available in target"
Amazon SageMaker,ml.p4d.24xlarge for endpoint usage,"Available in source, Not Available in target"
Amazon SageMaker,ml.p2.xlarge for training warm pool usage,"Available in source, Not Available in target"
Amazon SageMaker,Maximum total concurrency that can be allocated across all serverless endpoints,"Available in source, Not Available in target"
Amazon SageMaker,"Total number of trial components allowed in a single trial, excluding those automatically created by SageMaker","Available in source, Not Available in target"
Amazon SageMaker,Studio JupyterLab Apps running on ml.m7i.2xlarge instances,"Available in source, Not Available in target"
Amazon SageMaker,ml.c4.8xlarge for training warm pool usage,"Available in source, Not Available in target"
Amazon SageMaker,ml.m4.4xlarge for processing job usage,"Available in source, Not Available in target"
Amazon SageMaker,Studio CodeEditor Apps running on ml.c6i.xlarge instances,"Available in source, Not Available in target"
Amazon SageMaker,Maximum number of Ground Truth Streaming labeling jobs,"Available in source, Not Available in target"
Amazon SageMaker,Studio CodeEditor Apps running on ml.c5.large instances,"Available in source, Not Available in target"
Amazon SageMaker,Studio KernelGateway Apps running on ml.g5.xlarge instance,"Available in source, Not Available in target"
Amazon SageMaker,ml.r6id.24xlarge for notebook instance usage,"Available in source, Not Available in target"
Amazon SageMaker,Maximum number of Ground Truth labeling jobs,Available in both
Amazon SageMaker,RSessionGateway Apps running on ml.c5.24xlarge instance,"Available in source, Not Available in target"
Amazon SageMaker,ml.p3dn.24xlarge for training job usage,"Available in source, Not Available in target"
Amazon SageMaker,ml.c5.2xlarge for notebook instance usage,"Available in source, Not Available in target"
Amazon EventBridge Schema Registry,DiscoveredSchemas,"Available in source, Not Available in target"
Amazon EventBridge Schema Registry,SchemaVersions,"Available in source, Not Available in target"
Amazon EventBridge Schema Registry,Schemas,"Available in source, Not Available in target"
Amazon EventBridge Schema Registry,Registries,"Available in source, Not Available in target"
Amazon EventBridge Schema Registry,Discoverers,"Available in source, Not Available in target"
AWS Secrets Manager,Secret value size,Available in both
AWS Secrets Manager,Rate of BatchGetSecretValue API requests,Available in both
AWS Secrets Manager,Combined rate of RestoreSecret API requests,Available in both
AWS Secrets Manager,"Combined rate of PutSecretValue, RemoveRegionsFromReplication, ReplicateSecretToRegion, StopReplicationToReplica, UpdateSecret, and UpdateSecretVersionStage API requests",Available in both
AWS Secrets Manager,Staging labels attached across all versions of a secret,Available in both
AWS Secrets Manager,Secrets,Available in both
AWS Secrets Manager,Rate of GetRandomPassword API requests,Available in both
AWS Secrets Manager,Resource-based policy length,Available in both
AWS Secrets Manager,Versions per secret,Available in both
AWS Secrets Manager,Combined rate of TagResource and UntagResource API requests,Available in both
AWS Secrets Manager,Rate of DeleteSecret API requests,Available in both
AWS Secrets Manager,Combined rate of RotateSecret and CancelRotateSecret API requests,Available in both
AWS Secrets Manager,Combined rate of DescribeSecret and GetSecretValue API requests,Available in both
AWS Secrets Manager,Rate of ListSecretVersionIds API requests,Available in both
AWS Secrets Manager,Rate of CreateSecret API requests,Available in both
AWS Secrets Manager,Rate of ListSecrets API requests,Available in both
AWS Secrets Manager,"Combined rate of DeleteResourcePolicy, GetResourcePolicy, PutResourcePolicy, and ValidateResourcePolicy API requests",Available in both
AWS Security Hub,Number of automation rules,Available in both
AWS Service Catalog,Products per portfolio,Available in both
AWS Service Catalog,Service actions per region,Available in both
AWS Service Catalog,Service action associations per provisioning artifact,Available in both
AWS Service Catalog,Attribute groups per application,Available in both
AWS Service Catalog,Tags per product,Available in both
AWS Service Catalog,Product versions per product,Available in both
AWS Service Catalog,"Users, groups, and roles per product",Available in both
AWS Service Catalog,Shared accounts per portfolio,Available in both
AWS Service Catalog,Tags per provisioned product,Available in both
AWS Service Catalog,Attribute groups per region,"Available in source, Not Available in target"
AWS Service Catalog,Portfolios per region,"Available in source, Not Available in target"
AWS Service Catalog,Applications per attribute group,"Available in source, Not Available in target"
AWS Service Catalog,"Users, groups, and roles per portfolio",Available in both
AWS Service Catalog,Resources per application,Available in both
Service Quotas,Active requests per account per Region,Available in both
Service Quotas,Throttle rate for UntagResource,Available in both
Service Quotas,Throttle rate for GetAWSDefaultServiceQuota,Available in both
Service Quotas,Throttle rate for TagResource,Available in both
Service Quotas,Active requests per quota,Available in both
Service Quotas,Throttle rate for GetServiceQuota,Available in both
Service Quotas,Throttle rate for ListRequestedServiceQuotaChangeHistory,Available in both
Service Quotas,Throttle rate for ListRequestedServiceQuotaChangeHistoryByQuota,Available in both
Service Quotas,Throttle rate for ListServiceQuotas,Available in both
Service Quotas,Throttle rate for RequestServiceQuotaIncrease,Available in both
Service Quotas,Throttle rate for ListServices,Available in both
Service Quotas,Throttle rate for ListTagsForResource,Available in both
Service Quotas,Throttle rate for ListAWSDefaultServiceQuotas,Available in both
Service Quotas,Throttle rate for GetRequestedServiceQuotaChange,Available in both
Amazon Simple Email Service(Amazon SES),Sending quota,"Available in source, Not Available in target"
Amazon Simple Email Service(Amazon SES),Sending rate,"Available in source, Not Available in target"
AWS Server Migration Service,Duration of service usage per VM in days,"Available in source, Not Available in target"
AWS Server Migration Service,Concurrent VM migrations,"Available in source, Not Available in target"
Amazon Simple Notification Service (Amazon SNS),ConfirmSubscription Transactions per Second,Available in both
Amazon Simple Notification Service (Amazon SNS),Subscriptions per Topic,"Available in source, Not Available in target"
Amazon Simple Notification Service (Amazon SNS),OptInPhoneNumber Transactions per Second,"Available in source, Not Available in target"
Amazon Simple Notification Service (Amazon SNS),VerifySMSSandboxPhoneNumber Transactions per Second,Available in both
Amazon Simple Notification Service (Amazon SNS),Subscribe Transactions per Second,Available in both
Amazon Simple Notification Service (Amazon SNS),SetTopicAttributes Transactions per Second,"Available in source, Not Available in target"
Amazon Simple Notification Service (Amazon SNS),GetTopicAttributes Transactions per Second,Available in both
Amazon Simple Notification Service (Amazon SNS),AddPermission Transactions per Second,"Available in source, Not Available in target"
Amazon Simple Notification Service (Amazon SNS),GetEndpointAttributes Transactions per Second,"Available in source, Not Available in target"
Amazon Simple Notification Service (Amazon SNS),ListPlatformApplications Transactions per Second,"Available in source, Not Available in target"
Amazon Simple Notification Service (Amazon SNS),UntagResource Transactions per Second,Available in both
Amazon Simple Notification Service (Amazon SNS),DeletePlatformApplication Transactions per Second,"Available in source, Not Available in target"
Amazon Simple Notification Service (Amazon SNS),Filter Policies per Account,Available in both
Amazon Simple Notification Service (Amazon SNS),Unsubscribe Transactions per Second,"Available in source, Not Available in target"
Amazon Simple Notification Service (Amazon SNS),Messages Published per Second,"Available in source, Not Available in target"
Amazon Simple Notification Service (Amazon SNS),ListEndpointsByPlatformApplication Transactions per Second,"Available in source, Not Available in target"
Amazon Simple Notification Service (Amazon SNS),CreatePlatformApplication Transactions per Second,"Available in source, Not Available in target"
Amazon Simple Notification Service (Amazon SNS),ListSMSSandboxPhoneNumbers Transactions per Second,"Available in source, Not Available in target"
Amazon Simple Notification Service (Amazon SNS),SetPlatformApplicationAttributes Transactions per Second,"Available in source, Not Available in target"
AWS Systems Manager,Concurrently running automations with blocking actions,Available in both
AWS Systems Manager,Instances per target,Available in both
AWS Systems Manager,Single Maintenance Window concurrent executions,Available in both
AWS Systems Manager,Maintenance Window execution history retention,Available in both
AWS Systems Manager,Targets per Maintenance Window,Available in both
AWS Systems Manager,Tasks per Maintenance Window,Available in both
AWS Systems Manager Incident Manager Contacts,Rotations per schedule,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,Stages per plan,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,StopEngagement API throttle quota,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,ListEngagements API throttle quota,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,StartEngagement API throttle quota,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,ListPagesByContact API throttle quota,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,Email engagement throttle quota,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,Voice engagement throttle quota,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,GetContact API throttle quota,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,Contacts per account,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,SMS engagement throttle quota,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,Non-mutating rotation-related API throttle quota,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,ListPageReceipts API throttle quota,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,Contacts per rotation,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,ListPagesByEngagement API throttle quota,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,DescribePage API throttle quota,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,AcceptPage API throttle quota,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,DescribeEngagement API throttle quota,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,Contact channels per stage,"Available in source, Not Available in target"
AWS Systems Manager Incident Manager Contacts,Non-mutating SSMContacts-related API throttle quota,"Available in source, Not Available in target"
AWS Systems Manager GUI Connect,Concurrent Remote Desktop connections,Available in both
AWS Systems Manager for SAP,Databases per component,"Available in source, Not Available in target"
AWS Systems Manager for SAP,SAP applications per Region in account,"Available in source, Not Available in target"
AWS Systems Manager for SAP,Components per SAP application,"Available in source, Not Available in target"
Amazon Textract,GetLendingAnalysis throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Textract,AnalyzeExpense throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Textract,CreateAdapterVersion throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Textract,Async DocumentAnalysis throttle limit for max number of concurrent jobs,"Available in source, Not Available in target"
Amazon Textract,Async DocumentTextDetection throttle limit for max number of concurrent jobs,"Available in source, Not Available in target"
Amazon Textract,UpdateAdapter throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Textract,CreateAdapterVersion throttle limit for max number of in-progress adapter versions per account,"Available in source, Not Available in target"
Amazon Textract,UntagResource throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Textract,AnalyzeDocument throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Textract,GetDocumentTextDetection throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Textract,GetLendingAnalysisSummary throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Textract,GetAdapterVersion throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Textract,StartDocumentTextDetection throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Textract,CreateAdapter throttle limit for max number of adapters per account,"Available in source, Not Available in target"
Amazon Textract,GetAdapter throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Textract,DetectDocumentText throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Textract,StartDocumentAnalysis throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Textract,Async LendingAnalysis throttle limit for max number of concurrent jobs,"Available in source, Not Available in target"
Amazon Textract,DeleteAdapterVersion throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Textract,AnalyzeID throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Timestream for Managed Influx,Database instances per account,"Available in source, Not Available in target"
Amazon Verified Permissions,GetPolicyStore requests per second per Region per account,Available in both
Amazon Verified Permissions,BatchIsAuthorized requests per second per Region per account,Available in both
Amazon Virtual Private Cloud (Amazon VPC),Internet gateways per Region,Available in both
Amazon Virtual Private Cloud (Amazon VPC),Elastic IP address quota per NAT gateway,Available in both
Amazon Virtual Private Cloud (Amazon VPC),Security groups per network interface,"Available in source, Not Available in target"
Amazon Virtual Private Cloud (Amazon VPC),Inbound or outbound rules per security group,"Available in source, Not Available in target"
Amazon Virtual Private Cloud (Amazon VPC),Outstanding VPC peering connection requests,Available in both
Amazon Virtual Private Cloud (Amazon VPC),Participant accounts per VPC,Available in both
Amazon Virtual Private Cloud (Amazon VPC),Rules per network ACL,Available in both
Amazon Virtual Private Cloud (Amazon VPC),Egress-only internet gateways per Region,Available in both
Amazon Virtual Private Cloud (Amazon VPC),Routes per route table,Available in both
Amazon Virtual Private Cloud (Amazon VPC),Subnets that can be shared with an account,Available in both
Amazon Virtual Private Cloud (Amazon VPC),IPv4 CIDR blocks per VPC,Available in both
Amazon Virtual Private Cloud (Amazon VPC),Gateway VPC endpoints per Region,Available in both
Amazon Virtual Private Cloud (Amazon VPC),Network ACLs per VPC,"Available in source, Not Available in target"
Amazon Virtual Private Cloud (Amazon VPC),VPCs per Region,"Available in source, Not Available in target"
Amazon Virtual Private Cloud (Amazon VPC),VPC peering connection request expiry hours,Available in both
Amazon Virtual Private Cloud (Amazon VPC),Private IP address quota per NAT gateway,Available in both
Amazon Virtual Private Cloud (Amazon VPC),Subnets per VPC,Available in both
Amazon Virtual Private Cloud (Amazon VPC),Active VPC peering connections per VPC,Available in both
AWS Well-Architected Tool,Shares per review template,"Available in source, Not Available in target"
AWS Well-Architected Tool,Lenses per review template,"Available in source, Not Available in target"
AWS Well-Architected Tool,Review templates per account per Region,"Available in source, Not Available in target"
Amazon WorkSpaces,Directories,"Available in source, Not Available in target"
Amazon WorkSpaces,WorkSpaces,"Available in source, Not Available in target"
Amazon WorkSpaces,Connection aliases,"Available in source, Not Available in target"
Amazon WorkSpaces,Bundles,"Available in source, Not Available in target"
Amazon WorkSpaces,Rules per IP access control group,"Available in source, Not Available in target"
Amazon WorkSpaces,Graphics.g4dn WorkSpaces,"Available in source, Not Available in target"
Amazon WorkSpaces,Images,"Available in source, Not Available in target"
Amazon WorkSpaces,IP access control groups per directory,"Available in source, Not Available in target"
Amazon WorkSpaces,IP access control groups,"Available in source, Not Available in target"
Amazon WorkSpaces,GraphicsPro.g4dn WorkSpaces,"Available in source, Not Available in target"
Amazon WorkSpaces Web,Number of UserSettings,"Available in source, Not Available in target"
Amazon WorkSpaces Web,Number of IdentityProviders per Portal,"Available in source, Not Available in target"
Amazon WorkSpaces Web,Number of BrowserSettings,"Available in source, Not Available in target"
Amazon WorkSpaces Web,Number of IpAccessSettings,"Available in source, Not Available in target"
Amazon WorkSpaces Web,Number of TrustStores,"Available in source, Not Available in target"
Amazon WorkSpaces Web,Number of UserAccessLoggingSettings,"Available in source, Not Available in target"
Amazon WorkSpaces Web,Number of NetworkSettings,"Available in source, Not Available in target"
Amazon WorkSpaces Web,Number of Web Portals,"Available in source, Not Available in target"
Amazon WorkSpaces Web,Number of Certificates per TrustStore,"Available in source, Not Available in target"
